FREQ,REF_AREA,UNIT_MEASURE,UNIT_MULT,TIME_FORMAT,COMPILATION,DECIMALS,SOURCE_REF,SUPP_INFO_BREAKS,TITLE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1960-07,3.17,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1960-08,2.5,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1960-09,1.95,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1960-10,3.28,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1960-11,4.02,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1960-12,3.5,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1961-01,3.29,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1961-02,3.36,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1961-03,3.46,A,F,
M,CA,368,0,,"From 1 Jun 1994 onwards: Central Bank target, overnight rate; from 27 Jul 1960 to 31 May 1994: official bank rate.",4,Bank of Canada,"In Jun 1994 the Bank of Canada (BoC) began shifting emphasis from the bank rate to the target for the overnight rate as its key monetary policy instrument. In Feb 1999 the target for the overnight rate was defined as the midpoint of the band, or 25 basis points below the bank rate. In May 2001 the BoC began emphasizing the target as its key interest rate in its communications with the public.", Central bank policy rates - Canada - Monthly - End of period,1961-04,3.53,A,F,
