Date, ZC025YR, ZC050YR, ZC075YR, ZC100YR, ZC125YR, ZC150YR, ZC175YR, ZC200YR, ZC225YR, ZC250YR, ZC275YR, ZC300YR, ZC325YR, ZC350YR, ZC375YR, ZC400YR, ZC425YR, ZC450YR, ZC475YR, ZC500YR, ZC525YR, ZC550YR, ZC575YR, ZC600YR, ZC625YR, ZC650YR, ZC675YR, ZC700YR, ZC725YR, ZC750YR, ZC775YR, ZC800YR, ZC825YR, ZC850YR, ZC875YR, ZC900YR, ZC925YR, ZC950YR, ZC975YR, ZC1000YR, ZC1025YR, ZC1050YR, ZC1075YR, ZC1100YR, ZC1125YR, ZC1150YR, ZC1175YR, ZC1200YR, ZC1225YR, ZC1250YR, ZC1275YR, ZC1300YR, ZC1325YR, ZC1350YR, ZC1375YR, ZC1400YR, ZC1425YR, ZC1450YR, ZC1475YR, ZC1500YR, ZC1525YR, ZC1550YR, ZC1575YR, ZC1600YR, ZC1625YR, ZC1650YR, ZC1675YR, ZC1700YR, ZC1725YR, ZC1750YR, ZC1775YR, ZC1800YR, ZC1825YR, ZC1850YR, ZC1875YR, ZC1900YR, ZC1925YR, ZC1950YR, ZC1975YR, ZC2000YR, ZC2025YR, ZC2050YR, ZC2075YR, ZC2100YR, ZC2125YR, ZC2150YR, ZC2175YR, ZC2200YR, ZC2225YR, ZC2250YR, ZC2275YR, ZC2300YR, ZC2325YR, ZC2350YR, ZC2375YR, ZC2400YR, ZC2425YR, ZC2450YR, ZC2475YR, ZC2500YR, ZC2525YR, ZC2550YR, ZC2575YR, ZC2600YR, ZC2625YR, ZC2650YR, ZC2675YR, ZC2700YR, ZC2725YR, ZC2750YR, ZC2775YR, ZC2800YR, ZC2825YR, ZC2850YR, ZC2875YR, ZC2900YR, ZC2925YR, ZC2950YR, ZC2975YR, ZC3000YR, 
1986-01-01, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-02, 0.0948511020, 0.0920275640, 0.0906589230, 0.0900548820, 0.0899114560, 0.0900409040, 0.0903200960, 0.0906688620, 0.0910369950, 0.0913952810, 0.0917289590, 0.0920328980, 0.0923080310, 0.0925587420, 0.0927910100, 0.0930111110, 0.0932247740, 0.0934366650, 0.0936501260, 0.0938670960, 0.0940881590, 0.0943126790, 0.0945389900, 0.0947646120, 0.0949864810, 0.0952011690, 0.0954051000, 0.0955947400, 0.0957667690, 0.0959182280, 0.0960466350, 0.0961500780, 0.0962272840, 0.0962776590, 0.0963013060, 0.0962990200, 0.0962722650, 0.0962231330, 0.0961542880, 0.0960689000, 0.0959705680, 0.0958632380, 0.0957511190, 0.0956386000, 0.0955301620, 0.0954303050, 0.0953434710, 0.0952739800, 0.0952259670, 0.0952033360, 0.0952097150, 0.0952484190, 0.0953224230, 0.0954343440, 0.0955864180, 0.0957804930, 0.0960180190, 0.0963000440, 0.0966272060, 0.0969997310, 0.0974174290, 0.0978796840, 0.0983854470, 0.0989332250, 0.0995210610, 0.1001465200, 0.1008066500, 0.1014979700, 0.1022164200, 0.1029573400, 0.1037153900, 0.1044845400, 0.1052580200, 0.1060282300, 0.1067867700, 0.1075243500, 0.1082307900, 0.1088950600, 0.1095052800, 0.1100488000, 0.1105123700, 0.1108822800, 0.1111446300, 0.1112856400, 0.1112920300, 0.1111514700, 0.1108530200, 0.1103876300, 0.1097485800, 0.1089318600, 0.1079364600, 0.1067645400, 0.1054213900, 0.1039153000, 0.1022572200, 0.1004604000, 0.0985397760, 0.0965114990, 0.0943923370, 0.0921991660, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-03, 0.0972953210, 0.0952625020, 0.0937273860, 0.0927638520, 0.0922366760, 0.0920162060, 0.0920002070, 0.0921130490, 0.0923010810, 0.0925278010, 0.0927696260, 0.0930124260, 0.0932487460, 0.0934756490, 0.0936930560, 0.0939025080, 0.0941062620, 0.0943066620, 0.0945057180, 0.0947048540, 0.0949047830, 0.0951054750, 0.0953061940, 0.0955055830, 0.0957017740, 0.0958925200, 0.0960753350, 0.0962476270, 0.0964068340, 0.0965505380, 0.0966765790, 0.0967831440, 0.0968688430, 0.0969327690, 0.0969745370, 0.0969943150, 0.0969928230, 0.0969713350, 0.0969316520, 0.0968760700, 0.0968073380, 0.0967286020, 0.0966433470, 0.0965553340, 0.0964685290, 0.0963870410, 0.0963150540, 0.0962567610, 0.0962163070, 0.0961977330, 0.0962049250, 0.0962415700, 0.0963111200, 0.0964167550, 0.0965613560, 0.0967474810, 0.0969773460, 0.0972528040, 0.0975753300, 0.0979460050, 0.0983654990, 0.0988340540, 0.0993514600, 0.0999170320, 0.1005295800, 0.1011873700, 0.1018880700, 0.1026287300, 0.1034056700, 0.1042144400, 0.1050497600, 0.1059053700, 0.1067739700, 0.1076471100, 0.1085150900, 0.1093668600, 0.1101899200, 0.1109702700, 0.1116924400, 0.1123394500, 0.1128930300, 0.1133338200, 0.1136417200, 0.1137964500, 0.1137781300, 0.1135681100, 0.1131498300, 0.1125097100, 0.1116380300, 0.1105296400, 0.1091844800, 0.1076077400, 0.1058097500, 0.1038055400, 0.1016140200, 0.0992571390, 0.0967587590, 0.0941436770, 0.0914366580, 0.0886616440, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-06, 0.0965403640, 0.0955182040, 0.0947728730, 0.0943696680, 0.0942156560, 0.0942234430, 0.0943269290, 0.0944800280, 0.0946526950, 0.0948269700, 0.0949935880, 0.0951492580, 0.0952945340, 0.0954321980, 0.0955660700, 0.0957001540, 0.0958380680, 0.0959826800, 0.0961359200, 0.0962987020, 0.0964709520, 0.0966516880, 0.0968391490, 0.0970309440, 0.0972242120, 0.0974157910, 0.0976023750, 0.0977806620, 0.0979474930, 0.0980999680, 0.0982355500, 0.0983521480, 0.0984481840, 0.0985226370, 0.0985750730, 0.0986056580, 0.0986151510, 0.0986048860, 0.0985767400, 0.0985330860, 0.0984767460, 0.0984109240, 0.0983391450, 0.0982651850, 0.0981929990, 0.0981266550, 0.0980702650, 0.0980279220, 0.0980036430, 0.0980013130, 0.0980246390, 0.0980771050, 0.0981619420, 0.0982820920, 0.0984401840, 0.0986385110, 0.0988790150, 0.0991632650, 0.0994924490, 0.0998673530, 0.1002883500, 0.1007553900, 0.1012679500, 0.1018250600, 0.1024252200, 0.1030664200, 0.1037460500, 0.1044608800, 0.1052070000, 0.1059797500, 0.1067736600, 0.1075823600, 0.1083985000, 0.1092136900, 0.1100183900, 0.1108018400, 0.1115520500, 0.1122557300, 0.1128983200, 0.1134641000, 0.1139363300, 0.1142974600, 0.1145295500, 0.1146146700, 0.1145355400, 0.1142761300, 0.1138224500, 0.1131632500, 0.1122907300, 0.1112010800, 0.1098948700, 0.1083771500, 0.1066573500, 0.1047488700, 0.1026684600, 0.1004354600, 0.0980709570, 0.0955968920, 0.0930353130, 0.0904076700, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-07, 0.0953292440, 0.0937268100, 0.0926210960, 0.0919137930, 0.0914993170, 0.0912942060, 0.0912360410, 0.0912794940, 0.0913924670, 0.0915528160, 0.0917457040, 0.0919614970, 0.0921941380, 0.0924399060, 0.0926964890, 0.0929623170, 0.0932360910, 0.0935164740, 0.0938019050, 0.0940905040, 0.0943800460, 0.0946679910, 0.0949515380, 0.0952277070, 0.0954934400, 0.0957456900, 0.0959815310, 0.0961982440, 0.0963934100, 0.0965649800, 0.0967113480, 0.0968313950, 0.0969245330, 0.0969907230, 0.0970304890, 0.0970449160, 0.0970356270, 0.0970047620, 0.0969549340, 0.0968891860, 0.0968109330, 0.0967239060, 0.0966320840, 0.0965396320, 0.0964508360, 0.0963700360, 0.0963015710, 0.0962497140, 0.0962186300, 0.0962123190, 0.0962345810, 0.0962889770, 0.0963788020, 0.0965070530, 0.0966764120, 0.0968892270, 0.0971474940, 0.0974528450, 0.0978065350, 0.0982094250, 0.0986619690, 0.0991641940, 0.0997156820, 0.1003155300, 0.1009623500, 0.1016541700, 0.1023884500, 0.1031619800, 0.1039708400, 0.1048102800, 0.1056746800, 0.1065574400, 0.1074508400, 0.1083459700, 0.1092326000, 0.1100990700, 0.1109322200, 0.1117173400, 0.1124381400, 0.1130768400, 0.1136143400, 0.1140304700, 0.1143044200, 0.1144153100, 0.1143429200, 0.1140685100, 0.1135758000, 0.1128518600, 0.1118880300, 0.1106805900, 0.1092312300, 0.1075471000, 0.1056405800, 0.1035286800, 0.1012321800, 0.0987745960, 0.0961810720, 0.0934773200, 0.0906886840, 0.0878393710, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-08, 0.0975816540, 0.0960933440, 0.0947739330, 0.0939059110, 0.0934257290, 0.0932400760, 0.0932658610, 0.0934362940, 0.0937000890, 0.0940190960, 0.0943657930, 0.0947210090, 0.0950719890, 0.0954107890, 0.0957329810, 0.0960366160, 0.0963214140, 0.0965881290, 0.0968380820, 0.0970728110, 0.0972938280, 0.0975024550, 0.0976997310, 0.0978863650, 0.0980627340, 0.0982288990, 0.0983846570, 0.0985295910, 0.0986631410, 0.0987846680, 0.0988935260, 0.0989891280, 0.0990710020, 0.0991388530, 0.0991926020, 0.0992324280, 0.0992587970, 0.0992724800, 0.0992745620, 0.0992664460, 0.0992498460, 0.0992267710, 0.0991995050, 0.0991705780, 0.0991427370, 0.0991189080, 0.0991021590, 0.0990956590, 0.0991026390, 0.0991263490, 0.0991700220, 0.0992368330, 0.0993298620, 0.0994520660, 0.0996062370, 0.0997949820, 0.1000206900, 0.1002855000, 0.1005912800, 0.1009396200, 0.1013317600, 0.1017686000, 0.1022506600, 0.1027780300, 0.1033503600, 0.1039667800, 0.1046258500, 0.1053255300, 0.1060630600, 0.1068349200, 0.1076366700, 0.1084629100, 0.1093071100, 0.1101614700, 0.1110168000, 0.1118623700, 0.1126857700, 0.1134727700, 0.1142072700, 0.1148712500, 0.1154448600, 0.1159065800, 0.1162335600, 0.1164021800, 0.1163887200, 0.1161703000, 0.1157259600, 0.1150378400, 0.1140923700, 0.1128813200, 0.1114025700, 0.1096605400, 0.1076661100, 0.1054361200, 0.1029924800, 0.1003608900, 0.0975695450, 0.0946477660, 0.0916247590, 0.0885286030, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-09, 0.0999724110, 0.0968749880, 0.0952327010, 0.0944001040, 0.0940741920, 0.0940607680, 0.0942288280, 0.0944907230, 0.0947898530, 0.0950919150, 0.0953783940, 0.0956416260, 0.0958810710, 0.0961005120, 0.0963059890, 0.0965043190, 0.0967020620, 0.0969048580, 0.0971170340, 0.0973414130, 0.0975792910, 0.0978305110, 0.0980936140, 0.0983660350, 0.0986443310, 0.0989244060, 0.0992017430, 0.0994716270, 0.0997293440, 0.0999703670, 0.1001905200, 0.1003861200, 0.1005540700, 0.1006919800, 0.1007982300, 0.1008719700, 0.1009131700, 0.1009226400, 0.1009019300, 0.1008533600, 0.1007799300, 0.1006852200, 0.1005733600, 0.1004488900, 0.1003166900, 0.1001818800, 0.1000497100, 0.0999255010, 0.0998145080, 0.0997218900, 0.0996526140, 0.0996114000, 0.0996026650, 0.0996304860, 0.0996985560, 0.0998101580, 0.0999681430, 0.1001749100, 0.1004323900, 0.1007420300, 0.1011048000, 0.1015211200, 0.1019909200, 0.1025135700, 0.1030878400, 0.1037119100, 0.1043832900, 0.1050987900, 0.1058544300, 0.1066453800, 0.1074659000, 0.1083091800, 0.1091673200, 0.1100311400, 0.1108901300, 0.1117323300, 0.1125442300, 0.1133107400, 0.1140152200, 0.1146394800, 0.1151640200, 0.1155683000, 0.1158311500, 0.1159314100, 0.1158486100, 0.1155638800, 0.1150608800, 0.1143267600, 0.1133530500, 0.1121363100, 0.1106785900, 0.1089874500, 0.1070757200, 0.1049608000, 0.1026638300, 0.1002086200, 0.0976204910, 0.0949252630, 0.0921482910, 0.0893137190, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-10, 0.0993245600, 0.0964375740, 0.0946005040, 0.0935610830, 0.0930907190, 0.0930106050, 0.0931860460, 0.0935181770, 0.0939363610, 0.0943917820, 0.0948522080, 0.0952977820, 0.0957176590, 0.0961073630, 0.0964667140, 0.0967982360, 0.0971059450, 0.0973944570, 0.0976683470, 0.0979317170, 0.0981879210, 0.0984394190, 0.0986877270, 0.0989334400, 0.0991763030, 0.0994153210, 0.0996488900, 0.0998749390, 0.1000910800, 0.1002947500, 0.1004833400, 0.1006543600, 0.1008055000, 0.1009347800, 0.1010406100, 0.1011218700, 0.1011779600, 0.1012088400, 0.1012150300, 0.1011976500, 0.1011583800, 0.1010994400, 0.1010235500, 0.1009338800, 0.1008340100, 0.1007278600, 0.1006195800, 0.1005135600, 0.1004142800, 0.1003262900, 0.1002541400, 0.1002022800, 0.1001750500, 0.1001766000, 0.1002108600, 0.1002814600, 0.1003917500, 0.1005447400, 0.1007430600, 0.1009889500, 0.1012842300, 0.1016302900, 0.1020280300, 0.1024778500, 0.1029796400, 0.1035326800, 0.1041356700, 0.1047865800, 0.1054826700, 0.1062203500, 0.1069951000, 0.1078013600, 0.1086324300, 0.1094802900, 0.1103355000, 0.1111870100, 0.1120220400, 0.1128259500, 0.1135821500, 0.1142720900, 0.1148752600, 0.1153694400, 0.1157310200, 0.1159355200, 0.1159583400, 0.1157757100, 0.1153658400, 0.1147101000, 0.1137943200, 0.1126098300, 0.1111543400, 0.1094323100, 0.1074549100, 0.1052394700, 0.1028085200, 0.1001884700, 0.0974082570, 0.0944978870, 0.0914871820, 0.0884047320, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-13, 0.0998276290, 0.0988679800, 0.0976716110, 0.0969231520, 0.0965800440, 0.0965287100, 0.0966669960, 0.0969168250, 0.0972229480, 0.0975487430, 0.0978718220, 0.0981801710, 0.0984689970, 0.0987382340, 0.0989906370, 0.0992303520, 0.0994619030, 0.0996894870, 0.0999165260, 0.1001454200, 0.1003774500, 0.1006127700, 0.1008505100, 0.1010889100, 0.1013254600, 0.1015571300, 0.1017805100, 0.1019920400, 0.1021881400, 0.1023654000, 0.1025207100, 0.1026513700, 0.1027552100, 0.1028306600, 0.1028768100, 0.1028934200, 0.1028809700, 0.1028406500, 0.1027742800, 0.1026843400, 0.1025739000, 0.1024465100, 0.1023061600, 0.1021572100, 0.1020042800, 0.1018521600, 0.1017057500, 0.1015699700, 0.1014496900, 0.1013496200, 0.1012743300, 0.1012281200, 0.1012150000, 0.1012386700, 0.1013024600, 0.1014093200, 0.1015617900, 0.1017620100, 0.1020116400, 0.1023119400, 0.1026636600, 0.1030670900, 0.1035220400, 0.1040277600, 0.1045829900, 0.1051858800, 0.1058339500, 0.1065240500, 0.1072523000, 0.1080140200, 0.1088036700, 0.1096147100, 0.1104395700, 0.1112695000, 0.1120945200, 0.1129032700, 0.1136830000, 0.1144194900, 0.1150970400, 0.1156985900, 0.1162058000, 0.1165993900, 0.1168594600, 0.1169660200, 0.1168996800, 0.1166424000, 0.1161783500, 0.1154948000, 0.1145829000, 0.1134383800, 0.1120619600, 0.1104595100, 0.1086418600, 0.1066243000, 0.1044258100, 0.1020681600, 0.0995749090, 0.0969703540, 0.0942786890, 0.0915232210, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
1986-01-14, 0.0999928650, 0.0988132400, 0.0976324890, 0.0969682030, 0.0967142800, 0.0967254320, 0.0968848620, 0.0971103820, 0.0973492310, 0.0975712170, 0.0977624500, 0.0979201720, 0.0980486890, 0.0981562670, 0.0982528530, 0.0983484590, 0.0984520730, 0.0985710060, 0.0987105400, 0.0988738270, 0.0990619530, 0.0992741140, 0.0995078710, 0.0997594420, 0.1000240100, 0.1002960300, 0.1005695200, 0.1008383600, 0.1010964800, 0.1013381500, 0.1015581200, 0.1017518100, 0.1019153900, 0.1020459300, 0.1021414100, 0.1022008100, 0.1022240400, 0.1022120200, 0.1021665400, 0.1020902400, 0.1019865500, 0.1018595300, 0.1017138300, 0.1015545400, 0.1013870600, 0.1012170400, 0.1010502100, 0.1008923000, 0.1007489800, 0.1006256800, 0.1005276400, 0.1004597500, 0.1004265100, 0.1004320600, 0.1004800600, 0.1005737200, 0.1007157500, 0.1009083600, 0.1011532800, 0.1014517000, 0.1018042900, 0.1022112000, 0.1026720300, 0.1031858200, 0.1037510300, 0.1043655100, 0.1050264800, 0.1057304400, 0.1064731800, 0.1072496500, 0.1080539500, 0.1088792100, 0.1097175000, 0.1105597700, 0.1113957600, 0.1122138900, 0.1130012400, 0.1137435300, 0.1144251000, 0.1150290400, 0.1155373500, 0.1159312100, 0.1161913900, 0.1162987500, 0.1162349000, 0.1159829400, 0.1155282500, 0.1148593300, 0.1139684800, 0.1128524400, 0.1115126900, 0.1099555700, 0.1081920300, 0.1062371700, 0.1041094700, 0.1018299300, 0.0994211320, 0.0969063290, 0.0943085950, 0.0916501440, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
